X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
8.55,2.51,1.02,1154,1289,105,0,1374,-10.79,1.29,-2.67,952,1150,1605,1021,449,CAR
8.79,2.16,-1.29,1152,1302,95,0,1375,-10.4,1.41,-2.16,960,1121,1622,1022,455,CAR
11.49,1.84,-2.16,1152,1306,98,0,1376,-10.83,1.92,-1.45,967,1144,1609,1021,455,CAR
11.85,1.49,-2.9,1167,1292,101,0,1402,-6.67,2.04,0.75,971,1143,1603,1040,454,CAR
12.63,1.29,-2.47,1185,1286,87,0,1405,-6.55,1.88,1.84,975,1156,1613,1011,455,CAR
12.63,1.92,-1.29,1181,1265,97,0,1381,-6,1.77,1.92,957,1142,1623,1017,448,CAR
11.89,2.04,0.27,1162,1280,94,0,1385,-7.88,1.88,0.2,965,1146,1616,1019,451,CAR
8.67,2.75,2,1168,1295,98,0,1395,-9.14,1.41,-1.84,971,1140,1618,1022,450,CAR
5.92,3.37,3.26,1162,1271,99,0,1382,-9.61,1.88,-4.24,953,1149,1615,1022,449,CAR
5.26,3.33,3.61,1149,1296,102,0,1381,-10.55,1.37,-4.24,972,1140,1614,1040,454,CAR
7.26,3.53,2.63,1149,1305,96,0,1376,-10.24,1.06,-3.69,973,1138,1614,1023,462,CAR
10.12,2.79,-0.08,1168,1290,107,0,1378,-9.41,1.26,-3.3,974,1150,1631,1019,464,CAR
10.71,1.88,-1.49,1163,1297,97,0,1381,-9.89,1.69,-2.47,966,1146,1613,1019,464,CAR
10.83,1.02,-2.75,1155,1278,98,0,1395,-8.94,2.04,-1.18,960,1132,1616,1018,464,CAR
12.67,0.71,-2.71,1159,1283,102,0,1402,-7.85,2.2,0.78,974,1137,1616,1038,463,CAR
13.73,0.67,-2.04,1150,1281,98,0,1398,-6.75,2.24,2.2,959,1149,1606,1031,458,CAR
12.16,1.33,-1.14,1157,1280,97,0,1392,-6.28,1.77,2.28,960,1135,1616,1023,462,CAR
10.79,1.88,-0.9,1170,1270,98,0,1386,-8.28,1.96,0.31,966,1137,1629,1034,459,CAR
8.9,2.71,0.39,1163,1295,98,0,1373,-8.94,2.12,-1.26,961,1147,1625,1015,459,CAR
7.73,2.94,2.39,1179,1296,98,0,1406,-9.69,1.73,-2.55,963,1136,1619,1022,452,CAR
6.71,3.41,3.92,1152,1285,100,0,1406,-9.65,1.33,-3.77,958,1151,1618,1011,458,CAR
5.57,3.45,3.77,1159,1294,100,0,1383,-10,1.14,-3.92,961,1136,1621,1023,451,CAR
7.88,3.14,2.31,1168,1281,99,0,1378,-10.04,0.94,-3.37,959,1148,1619,1021,463,CAR
10.04,2.71,-0.24,1181,1275,98,0,1392,-9.69,1.37,-2.86,962,1141,1621,1017,462,CAR
10.43,1.61,-1.96,1166,1286,103,0,1403,-9.96,1.57,-1.61,958,1150,1628,1019,464,CAR
11.26,1.37,-3.57,1159,1286,104,0,1371,-8.94,1.84,0,958,1145,1623,1033,463,CAR
12,1.14,-3.8,1152,1276,98,0,1407,-7.61,2.2,1.77,957,1149,1614,1023,463,CAR
11.89,1.06,-2.86,1175,1274,102,0,1391,-7.06,1.88,2.28,952,1137,1631,1015,463,CAR
11.53,1.41,-2.43,1164,1275,101,0,1382,-6.83,1.88,1.53,960,1143,1621,1040,464,CAR
11.49,1.88,-1.53,1165,1298,101,0,1390,-8.24,2.08,0.04,976,1152,1611,1022,464,CAR
8.71,2.47,0.51,1170,1277,102,0,1402,-9.34,2.08,-1.96,964,1139,1618,1035,467,CAR
6.04,2.75,2.12,1153,1278,97,0,1373,-9.89,2.12,-2.98,959,1155,1621,1023,467,CAR
7.02,3.61,2.63,1159,1271,100,0,1385,-9.89,1.77,-2.71,962,1148,1639,1023,470,CAR
8.55,3.69,2.63,1163,1267,101,0,1408,-9.81,1.73,-2.63,957,1145,1631,1019,464,CAR
9.02,2.94,0.55,1173,1281,100,0,1403,-10.55,1.8,-2.98,957,1141,1621,1022,469,CAR
10.43,1.61,-0.9,1152,1297,94,0,1383,-9.53,1.84,-1.65,967,1143,1621,1011,466,CAR
11.41,1.18,-2.35,1153,1279,106,0,1397,-10,1.06,-0.51,965,1139,1618,1039,464,CAR
11.57,0.63,-3.1,1156,1280,100,0,1403,-7.34,2.43,1.22,967,1152,1615,1031,460,CAR
12.55,0.67,-2.98,1158,1280,101,0,1384,-7.14,2.04,2.47,958,1140,1615,1035,464,CAR
11.89,0.75,-2.43,1167,1280,98,0,1386,-6.59,1.88,2.47,963,1140,1614,1032,462,CAR
11.18,0.98,-1.88,1157,1293,92,0,1380,-7.88,1.88,1.18,969,1158,1619,1031,459,CAR
9.96,1.92,-0.55,1149,1310,96,0,1405,-9.38,1.88,0.08,955,1147,1621,1035,453,CAR
8.36,2.47,1.22,1159,1275,90,0,1390,-9.89,1.65,-1.57,956,1158,1617,1023,452,CAR
6.04,2.75,1.65,1182,1273,97,0,1386,-9.92,1.77,-2.75,970,1147,1625,1039,448,CAR
6.28,3.45,1.45,1161,1278,100,0,1383,-11.14,1.73,-2.63,961,1152,1635,1035,449,CAR
9.1,2.63,0.78,1153,1271,102,0,1377,-9.49,1.37,-2,962,1143,1616,1035,448,CAR
10.71,2.59,-0.04,1159,1280,100,0,1404,-9.53,2.24,-2.04,959,1136,1621,1033,447,CAR
10.9,2.71,-1.73,1163,1269,97,0,1381,-10.32,1.69,-0.55,960,1151,1635,1015,448,CAR
11.3,2.31,-2.39,1158,1279,101,0,1380,-8.04,1.61,0.94,962,1151,1609,1036,446,CAR
11.61,2.2,-1.73,1172,1270,98,0,1394,-5.81,1.49,1.8,967,1138,1619,1037,448,CAR
8.55,1.49,-0.43,1168,1275,98,0,1376,-6.24,1.14,1.37,964,1154,1616,1022,448,CAR
7.77,1.53,0.31,1149,1306,97,0,1405,-9.26,1.33,1.33,959,1150,1613,1023,448,CAR
8.43,2.75,2.08,1150,1299,99,0,1379,-10.04,1.22,1.14,951,1177,1622,1035,448,CAR
9.61,2.86,4.04,1154,1280,102,0,1382,-10.47,0.94,1.92,953,1190,1620,1040,448,CAR
9.45,2.59,5.45,1151,1289,109,0,1395,-9.34,1.06,3.3,954,1214,1631,1054,448,CAR
8.63,1.84,7.06,1163,1295,109,0,1381,-8.67,0.86,5.18,949,1232,1649,1066,447,CAR
7.49,1.14,8.59,1152,1296,118,0,1404,-8.43,1.37,5.81,953,1229,1650,1061,448,CAR
6.94,1.22,9.65,1164,1271,110,0,1373,-8.98,0.12,7.92,950,1251,1639,1062,447,CAR
5.57,0.78,9.92,1148,1295,107,0,1399,-7.53,-1.02,8.94,955,1250,1648,1063,449,CAR
5.92,-0.31,10.04,1171,1277,115,0,1403,-7.69,-0.98,8.98,959,1264,1655,1068,449,CAR
4.55,-0.98,10,1155,1279,128,0,1408,-6.51,-1.22,8.36,959,1266,1659,1059,452,CAR
5.02,-1.33,9.06,1162,1300,121,0,1386,-7.34,-2.51,10.08,945,1269,1665,1063,449,CAR
4.94,-1.02,9.89,1170,1297,117,0,1381,-5.22,-1.37,7.92,947,1271,1648,1064,449,CAR
5.3,-1.02,9.57,1151,1280,123,0,1381,-6.9,-2.79,9.92,944,1273,1664,1073,448,CAR
5.22,-0.9,9.73,1153,1281,128,0,1406,-5.57,-2.71,9.22,959,1265,1648,1075,447,CAR
5.06,-1.02,9.53,1161,1299,118,0,1373,-6.08,-2.79,8.94,959,1269,1660,1065,445,CAR
5.18,-1.02,9.65,1170,1267,119,0,1378,-5.65,-2.51,9.06,960,1266,1669,1074,447,CAR
5.88,-0.86,9.65,1153,1296,122,0,1386,-6.55,-2.82,8.36,944,1281,1674,1072,447,CAR
6.9,-0.55,9.18,1148,1287,115,0,1376,-7.3,-2.67,8.55,973,1275,1655,1078,447,CAR
7.61,-0.24,9.06,1155,1280,122,0,1373,-7.77,-2.47,7.85,957,1270,1654,1070,448,CAR
8.04,0.31,8.47,1153,1296,123,0,1392,-8.87,-2.24,6.9,957,1283,1667,1072,448,CAR
8.67,0.55,7.53,1157,1301,116,0,1389,-9.38,-2.39,5.96,946,1271,1666,1078,448,CAR
8.83,1.61,6.63,1155,1297,127,0,1392,-9.49,-1.57,4.67,951,1271,1671,1072,448,CAR
