X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
2.79,7.92,2,1179,1282,126,1393,-5.1,4.16,7.3,1006,1344,1694,1094,500,DARK
2.59,7.34,2.71,1157,1291,129,1377,-2.9,3.88,7.02,995,1339,1687,1083,627,DARK
0.39,5.96,3.96,1159,1294,125,1397,-1.29,3.88,7.45,1003,1330,1714,1083,685,DARK
-0.82,4.82,5.69,1152,1285,128,1379,0.04,3.06,8.59,979,1328,1686,1088,768,DARK
-0.31,2.9,8.12,1157,1290,127,1376,0.27,2.16,10.12,1011,1341,1683,1088,945,DARK
-1.65,3.02,9.81,1181,1298,127,1407,0.75,1.69,10.79,1015,1344,1680,1088,927,DARK
-1.57,3.02,10.04,1168,1312,138,1378,-0.04,0.98,11.14,1008,1335,1680,1085,793,DARK
1.92,2.71,9.96,1159,1294,128,1376,0,0.04,12.08,995,1329,1680,1072,715,DARK
0.86,1.49,10.75,1159,1292,129,1404,0.31,-0.75,12.36,1008,1319,1680,1088,587,DARK
-1.18,1.88,11.92,1157,1281,128,1379,1.22,-1.57,12.83,1005,1329,1680,1093,422,DARK
-2.79,1.61,11.1,1163,1295,131,1372,0.9,-0.63,12.71,993,1337,1707,1093,470,DARK
-1.26,1.73,11.96,1159,1280,128,1383,0.59,-0.63,12.28,1010,1354,1698,1083,605,DARK
-1.06,1.77,11.02,1161,1290,128,1386,-0.04,-0.59,11.69,1012,1344,1702,1100,671,DARK
-0.78,1.53,10.71,1156,1290,125,1381,-0.04,-0.71,11.57,1004,1341,1695,1113,816,DARK
-1.02,1.61,10.36,1162,1287,130,1392,-0.04,-0.55,11.49,1012,1343,1700,1094,965,DARK
-0.51,1.45,10.43,1174,1296,123,1406,-0.08,-0.63,11.65,1012,1329,1680,1090,914,DARK
-1.02,1.49,10.59,1172,1296,129,1374,-0.2,-0.75,11.57,1011,1334,1687,1094,781,DARK
-0.78,1.45,11.06,1164,1289,126,1392,-0.31,-0.9,11.49,1005,1341,1690,1089,718,DARK
-0.59,1.06,10.83,1161,1299,129,1378,0.27,-1.18,11.38,1018,1335,1687,1086,555,DARK
-1.29,1.45,10.51,1161,1307,128,1383,0.31,-1.18,10.94,1008,1328,1689,1091,427,DARK
-1.53,2.43,9.38,1162,1282,132,1404,-1.02,-0.78,11.06,1008,1341,1680,1095,511,DARK
-1.45,3.26,8.12,1173,1283,125,1400,-1.22,-0.35,10.87,1013,1339,1692,1090,624,DARK
0.04,4.24,8.75,1168,1303,130,1382,-1.8,0.16,10.75,1008,1349,1663,1091,689,DARK
0.31,5.1,7.96,1155,1286,126,1377,-2.71,0.43,10.36,1017,1342,1696,1139,855,DARK
0.12,6,8.32,1162,1285,128,1404,-3.02,0.2,10.4,1013,1331,1706,1097,999,DARK
1.49,6,7.96,1169,1279,123,1402,-2.98,0.27,11.1,995,1335,1687,1088,896,DARK
2.59,6.04,8.16,1181,1281,128,1386,-3.18,0.2,10.55,1007,1329,1695,1094,774,DARK
2.16,5.73,9.73,1156,1287,128,1385,-3.77,0,11.61,1010,1335,1699,1091,694,DARK
1.84,4.71,9.96,1158,1282,128,1377,-4.59,-0.27,11.53,1003,1348,1693,1086,499,DARK
1.84,3.65,9.65,1165,1279,128,1366,-4.28,-0.67,10.71,1002,1327,1697,1088,346,DARK
2.28,3.06,9.81,1165,1295,128,1395,-4.43,-1.1,10.43,1009,1330,1734,1090,523,DARK
2.71,2.24,10.63,1168,1313,126,1407,-4.67,-1.29,10.55,1004,1338,1684,1087,647,DARK
1.65,2.08,11.06,1165,1297,128,1386,-4.39,-1.33,10.43,1005,1331,1687,1087,719,DARK
3.53,0.9,11.41,1157,1280,130,1376,-4,-1.88,10.55,1009,1344,1697,1085,938,DARK
3.88,0.43,10.47,1184,1285,130,1377,-4.12,-2.28,10.16,1007,1339,1690,1102,1061,DARK
3.77,-0.16,10.36,1165,1305,130,1385,-4.24,-2.67,10.47,1008,1338,1701,1094,885,DARK
3.49,-0.43,10.43,1166,1270,131,1381,-4.35,-2.75,10,1008,1345,1694,1088,747,DARK
4.82,0.2,10.55,1133,1282,130,1380,-4.28,-3.02,9.85,1008,1328,1682,1092,669,DARK
4.04,-1.57,10.08,1165,1286,128,1382,-4.9,-4.55,10,1011,1329,1702,1090,398,DARK
4.12,-1.26,10.36,1162,1290,128,1382,-3.84,-3.88,9.81,1009,1344,1695,1095,368,DARK
4.2,-1.22,10,1168,1279,130,1382,-4.35,-3.61,9.69,1003,1328,1685,1087,567,DARK
4,-1.06,10.12,1171,1264,126,1402,-4.24,-3.73,9.65,1011,1339,1695,1087,686,DARK
4.94,-1.26,9.96,1159,1302,130,1379,-4,-3.77,9.57,1017,1333,1691,1089,750,DARK
4.67,-1.29,9.89,1165,1296,129,1406,-4.47,-3.77,9.65,1014,1313,1694,1106,1043,DARK
4.39,-1.26,9.92,1184,1302,132,1379,-4.08,-3.88,9.77,1008,1340,1690,1088,1036,DARK
4.47,-1.33,10,1171,1299,128,1378,-2.59,-4.35,9.34,999,1344,1710,1086,848,DARK
2.75,-2,10.16,1162,1293,127,1377,-3.77,-3.45,11.18,1006,1331,1684,1088,735,DARK
4.82,-1.61,10.94,1168,1315,132,1379,-3.49,-3.1,11.14,1010,1328,1687,1090,674,DARK
6.63,-0.86,10.87,1168,1287,124,1377,-5.73,-2.24,10.94,1003,1321,1694,1079,373,DARK
