configsip: 0, SPIWP:0xee,3,1067,433,TEACHER,,,,,,,,,,,,
clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00,3,1067,433,TEACHER,,,,,,,,
mode:DIO, clock div:1,3,1067,433,TEACHER,,,,,,,,,,,,
load:0x3fff0030,len:4888,3,1067,433,TEACHER,,,,,,,,,,,,
load:0x40078000,len:16456,3,1067,433,TEACHER,,,,,,,,,,,,
load:0x40080400,len:4,3,1067,433,TEACHER,,,,,,,,,,,,
load:0x40080404,len:3476,3,1067,433,TEACHER,,,,,,,,,,,,
X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label,3,1067,433,TEACHER,,,,,
5.1,3.14,4.79,1154,1295,91,0,1390,TEACHER,3,1067,433,TEACHER,,,,,
5.61,3.84,4.43,1159,1275,98,0,1378,TEACHER,3,1067,433,TEACHER,,,,,
6.43,3.77,4.94,1153,1283,97,0,1399,TEACHER,3,1067,433,TEACHER,,,,,
6.32,4.31,4.82,1170,1283,97,0,1387,TEACHER,3,1067,433,TEACHER,,,,,
9.14,4.9,5.88,1168,1293,87,0,1378,TEACHER,3,1067,433,TEACHER,,,,,
11.3,5.3,5.53,1169,1283,102,0,1395,TEACHER,3,1067,433,TEACHER,,,,,
7.34,4.55,3.49,1166,1298,100,0,1407,TEACHER,3,1067,433,TEACHER,,,,,
5.18,4.16,2.59,1164,1260,94,0,1382,TEACHER,3,1067,433,TEACHER,,,,,
12.67,3.65,6.71,1157,1287,91,0,1377,TEACHER,3,1067,433,TEACHER,,,,,
7.88,4.31,4.2,1232,1311,94,0,1377,TEACHER,3,1067,433,TEACHER,,,,,
8.9,3.84,5.06,1173,1299,95,0,1383,TEACHER,3,1067,433,TEACHER,,,,,
7.85,2.79,6.04,1163,1285,99,0,1377,TEACHER,3,1067,433,TEACHER,,,,,
5.49,3.3,4.94,1185,1304,105,0,1382,TEACHER,3,1067,433,TEACHER,,,,,
4.75,3.33,4.82,1154,1289,110,0,1377,TEACHER,3,1067,433,TEACHER,,,,,
7.22,2.39,7.41,1175,1303,120,0,1406,TEACHER,3,1067,433,TEACHER,,,,,
5.92,0.98,9.77,1151,1281,112,0,1374,TEACHER,3,1067,433,TEACHER,,,,,
6.55,0.75,10.36,1165,1280,119,0,1383,TEACHER,configsip: 0, SPIWP:0xee,,,,,,,
3.69,-2.55,9.02,1178,1299,121,0,1386,TEACHER,clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00,,,
14.44,-3.49,18.91,1188,1280,134,0,1381,TEACHER,mode:DIO, clock div:1,,,,,,,
5.3,-3.33,8.87,1154,1275,123,0,1387,TEACHER,load:0x3fff0030,len:4888,,,,,,,
5.33,-2.43,9.22,1157,1277,119,0,1408,TEACHER,load:0x40078000,len:16456,,,,,,,
5.22,-2.43,8.94,1122,1281,118,0,1376,TEACHER,load:0x40080400,len:4,,,,,,,
5.84,-2.47,9.14,1161,1286,119,0,1377,TEACHER,load:0x40080404,len:3476,,,,,,,
5.81,-2.43,10.16,1161,1280,119,0,1392,TEACHER,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
8.63,-1.37,11.02,1170,1306,114,0,1383,TEACHER,-7.65,-1.57,6.32,948,1341,1557,1056,839,TEACHER
10.83,0.47,10.08,1163,1280,110,0,1406,TEACHER,-7.18,-1.84,6.94,943,1346,1569,1070,443,TEACHER
7.45,1.96,7.37,1162,1310,94,0,1387,TEACHER,-7.41,-1.49,7.49,945,1341,1570,1061,436,TEACHER
6.32,1.92,4.82,1158,1271,97,0,1382,TEACHER,-6.59,-1.18,7.49,950,1350,1588,1074,437,TEACHER
7.57,3.18,4.31,1175,1313,85,0,1386,TEACHER,-8.87,-1.73,5.81,946,1344,1571,1068,438,TEACHER
5.88,3.61,4.08,1186,1296,90,0,1386,TEACHER,-12.32,-1.73,4,975,1340,1573,1061,433,TEACHER
2.63,4.12,2.51,1156,1285,92,0,1382,TEACHER,-8.87,-1.41,5.02,998,1339,1586,1075,435,TEACHER
8.16,2.28,6.04,1159,1277,90,0,1393,TEACHER,-9.38,-1.06,4.9,1008,1336,1577,1072,435,TEACHER
4.2,4.71,3.22,1168,1287,91,0,1378,TEACHER,-12.4,-0.86,4.75,1021,1335,1581,1063,433,TEACHER
6.28,4.24,3.77,1162,1303,129,0,1407,TEACHER,-7.61,0.43,4.31,1022,1335,1573,1073,432,TEACHER
