X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
5.53,0.75,9.85,1172,1298,129,1392,-4.71,-4.71,8.79,979,1329,1712,1108,853,SWEET
5.1,-1.41,10.16,1162,1302,125,1381,-4.79,-4.67,8.67,978,1337,1712,1116,964,SWEET
5.57,-2.12,11.69,1161,1277,123,1375,-4.75,-4.63,8.71,976,1339,1709,1096,1099,SWEET
3.06,-1.1,10.12,1153,1282,128,1398,-4.94,-4.63,8.75,1008,1341,1692,1104,960,SWEET
2.71,-2.43,10.51,1155,1278,126,1378,-4.71,-4.67,8.71,977,1340,1709,1104,794,SWEET
3.88,-2.31,11.26,1155,1280,128,1398,-4.75,-4.67,8.75,976,1346,1711,1101,739,SWEET
2.63,-2.94,9.96,1159,1294,128,1378,-4.86,-4.71,8.75,978,1328,1702,1107,566,SWEET
3.22,-2.2,10.83,1154,1282,119,1377,-4.71,-4.67,8.75,974,1326,1701,1105,508,SWEET
3.02,-2.31,10.08,1168,1285,121,1373,-4.82,-4.59,8.75,977,1328,1705,1104,719,SWEET
3.1,-2.31,10.2,1159,1297,125,1375,-4.79,-4.59,8.79,986,1335,1701,1091,816,SWEET
2.98,-2.43,10.16,1166,1280,126,1397,-4.71,-4.67,8.83,1001,1335,1699,1072,862,SWEET
3.33,-2.28,10.24,1177,1280,124,1395,-4.75,-4.71,8.71,995,1339,1710,1104,1067,SWEET
3.22,-2.31,10.24,1163,1274,127,1377,-4.79,-4.55,8.71,971,1333,1702,1104,1067,SWEET
3.26,-2.82,10.63,1161,1280,119,1379,-4.82,-4.63,8.83,1020,1339,1702,1109,859,SWEET
3.96,-2.55,12.04,1168,1279,128,1377,-4.75,-4.75,8.63,974,1328,1706,1104,768,SWEET
5.18,-1.06,13.1,1157,1279,122,1367,-4.79,-4.59,8.71,979,1344,1710,1103,731,SWEET
6.59,-0.2,10.63,1168,1284,123,1380,-4.79,-4.71,8.79,963,1341,1711,1063,477,SWEET
7.37,1.69,7.18,1168,1296,126,1397,-4.63,-4.67,8.75,971,1344,1693,1098,560,SWEET
8.63,2.67,3.53,1168,1279,125,1377,-4.51,-4.75,8.83,986,1345,1693,1093,775,SWEET
7.22,4.24,2.31,1163,1279,123,1370,-4.71,-4.63,8.79,971,1329,1700,1105,845,SWEET
5.57,4.98,2.55,1158,1281,124,1376,-4.86,-4.67,8.79,976,1347,1713,1097,911,SWEET
6.59,5.02,2.51,1159,1281,122,1375,-4.67,-4.59,8.71,976,1331,1710,1103,1120,SWEET
8.08,5.57,1.96,1164,1296,129,1367,-4.67,-4.71,8.75,975,1350,1697,1115,986,SWEET
7.34,5.73,1.18,1132,1279,123,1378,-4.75,-4.67,8.75,975,1338,1712,1098,803,SWEET
8.28,5.96,1.45,1157,1278,129,1379,-4.71,-4.59,8.79,974,1330,1709,1091,747,SWEET
7.57,6.59,1.29,1162,1279,126,1375,-4.82,-4.75,8.71,992,1339,1699,1095,577,SWEET
7.85,6.51,2,1162,1288,125,1379,-4.79,-4.59,8.75,965,1331,1709,1107,490,SWEET
8.47,6.12,2.86,1173,1274,127,1385,-4.79,-4.67,8.67,976,1334,1703,1099,688,SWEET
7.96,6.08,2.51,1158,1281,125,1377,-4.82,-4.71,8.63,971,1333,1699,1116,818,SWEET
9.06,5.96,2.75,1157,1280,125,1387,-4.94,-4.59,8.71,976,1342,1712,1102,862,SWEET
7.96,6.2,3.65,1152,1275,118,1374,-4.9,-4.63,8.75,970,1341,1694,1099,1022,SWEET
7.1,5.22,4.28,1165,1270,129,1373,-4.86,-4.67,8.75,1001,1339,1722,1102,1074,SWEET
6.98,5.02,3.84,1165,1276,128,1375,-4.82,-4.67,8.71,986,1338,1718,1107,870,SWEET
8.28,4.75,3.14,1171,1276,127,1386,-4.9,-4.63,8.79,975,1338,1703,1104,771,SWEET
9.49,2.71,4.71,1137,1300,128,1374,-4.9,-4.55,8.75,972,1335,1707,1124,729,SWEET
10.24,2,4.2,1153,1296,130,1395,-4.86,-4.63,8.71,975,1339,1695,1115,464,SWEET
8.47,1.96,5.02,1166,1292,128,1376,-4.86,-4.59,8.71,962,1341,1707,1111,554,SWEET
9.85,-0.35,6.39,1157,1271,128,1373,-4.79,-4.59,8.79,967,1330,1699,1099,767,SWEET
